name,category,rarity,value,capacity,how_to_get,icon
Slicing S LV1 LV1,Ammo & Coatings,3,3,30,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png
Slicing S LV2 LV2,Ammo & Coatings,3,3,30,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png
Sharpnel S,Ammo & Coatings,3,3,30,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png
Wyvern S,Ammo & Coatings,4,6,10,Combine Bone Husk and Burst Arowana,https://static.wikia.nocookie.net/monsterhunter/images/9/98/MH4G-Shot_Icon_Red.png
Cannon S Lv1 LV1,Ammo & Coatings,4,6,10,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/9/98/MH4G-Shot_Icon_Red.png
Cannon S Lv2 LV2,Ammo & Coatings,4,6,10,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/9/98/MH4G-Shot_Icon_Red.png
Blast S LV1,Ammo & Coatings,4,6,12,Combine Huskberry and Bomb Arowana,https://static.wikia.nocookie.net/monsterhunter/images/c/cf/MH4G-Shot_Icon_Orange.png
Blast S LV2,Ammo & Coatings,4,6,12,Combine Huskberry and Bomb Arowana,https://static.wikia.nocookie.net/monsterhunter/images/c/cf/MH4G-Shot_Icon_Orange.png
Triblast S,Ammo & Coatings,4,6,12,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/c/cf/MH4G-Shot_Icon_Orange.png
Recover S Lv1 LV1,Ammo & Coatings,1,2,12,Combine Huskberry and Herb,https://static.wikia.nocookie.net/monsterhunter/images/3/34/MH4G-Shot_Icon_Green.png
Recover S Lv2 LV2,Ammo & Coatings,2,2,12,Combine Potion and Huskberry,https://static.wikia.nocookie.net/monsterhunter/images/3/34/MH4G-Shot_Icon_Green.png
Group Recover S,Ammo & Coatings,2,2,12,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/3/34/MH4G-Shot_Icon_Green.png
Demon S,Ammo & Coatings,3,9,5,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/9/98/MH4G-Shot_Icon_Red.png
Demon Aff S,Ammo & Coatings,3,9,5,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/9/98/MH4G-Shot_Icon_Red.png
Armor S,Ammo & Coatings,3,7,5,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/c/cf/MH4G-Shot_Icon_Orange.png
Super Armor S,Ammo & Coatings,3,7,5,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/c/cf/MH4G-Shot_Icon_Orange.png
Paint S,Ammo & Coatings,1,6,99,Combine Huskberry and Paintberry,https://static.wikia.nocookie.net/monsterhunter/images/9/91/MH4G-Shot_Icon_Pink.png
Tranq S,Ammo & Coatings,3,4,8,Combine Tranquilizer and Bone Husk,https://static.wikia.nocookie.net/monsterhunter/images/9/98/MH4G-Shot_Icon_Red.png
Stone S,Ammo & Coatings,3,4,8,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/9/98/MH4G-Shot_Icon_Red.png
Flash S,Ammo & Coatings,3,3,12,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Shot_Icon_Yellow.png
Dazzling S,Ammo & Coatings,3,3,12,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Shot_Icon_Yellow.png
Empty Phial,Ammo & Coatings,1,1,99,Combine Bone Husk and Whetstone,https://static.wikia.nocookie.net/monsterhunter/images/1/14/MH4G-Empty_Bottle_Icon_White.png
Power Coating LV1 LV1,Ammo & Coatings,2,3,50,Combine Empty Phial and Fire Herb,https://static.wikia.nocookie.net/monsterhunter/images/d/d4/MH4G-Coating_Icon_Red.png
Power Coating LV2 LV2,Ammo & Coatings,2,3,50,Combine Empty Phial and Nitroshroom,https://static.wikia.nocookie.net/monsterhunter/images/d/d4/MH4G-Coating_Icon_Red.png
Elem Coating LV1 LV1,Ammo & Coatings,2,3,50,Combine Empty Phial and Bitterbug,https://static.wikia.nocookie.net/monsterhunter/images/e/e0/MH4G-Coating_Icon_Pink.png
Elem Coating LV2 LV2,Ammo & Coatings,2,3,50,Combine Empty Phial and Gloamgrass Root,https://static.wikia.nocookie.net/monsterhunter/images/e/e0/MH4G-Coating_Icon_Pink.png
C.Range Coating,Ammo & Coatings,2,3,20,Combine Empty Phial and Whetfish,https://static.wikia.nocookie.net/monsterhunter/images/2/27/MH4G-Coating_Icon_White.png
Poison Coating,Ammo & Coatings,3,2,20,Combine Empty Phial and Toadstool,https://static.wikia.nocookie.net/monsterhunter/images/f/fb/MH4G-Coating_Icon_Purple.png
Para Coating,Ammo & Coatings,3,3,20,Combine Empty Phial and Parashroom,https://static.wikia.nocookie.net/monsterhunter/images/f/f6/MH4G-Coating_Icon_Yellow.png
Sleep Coating,Ammo & Coatings,3,2,20,Combine Empty Phial and Sleep Herb,https://static.wikia.nocookie.net/monsterhunter/images/1/18/MH4G-Coating_Icon_Light_Blue.png
Exhaust Coating,Ammo & Coatings,3,2,20,Combine Empty Phial and Staminashroom,https://static.wikia.nocookie.net/monsterhunter/images/e/e9/MH4G-Coating_Icon_Blue.png
Blast Coating,Ammo & Coatings,3,6,20,Combine Empty Phial and Bomb Arowana,https://static.wikia.nocookie.net/monsterhunter/images/5/52/MH4G-Coating_Icon_Light_Green.png
Paint Coating,Ammo & Coatings,1,6,99,Combine Empty Phial and Paintberry,https://static.wikia.nocookie.net/monsterhunter/images/e/e0/MH4G-Coating_Icon_Pink.png
Huskberry,Plants,1,1,99,Search plants in most areas,https://static.wikia.nocookie.net/monsterhunter/images/f/f5/MH4G-Husk_Icon_Grey.png
Honey,Plants,2,45,10,Search beehives in most areas,https://static.wikia.nocookie.net/monsterhunter/images/5/54/MH4G-Webbing_Icon_Orange.png
Herb,Plants,1,2,10,Search plants in most areas,https://static.wikia.nocookie.net/monsterhunter/images/f/f6/MH4G-Herb_Icon_Green.png
Antidote Herb,Plants,1,2,10,Search plants in most areas,https://static.wikia.nocookie.net/monsterhunter/images/2/27/MH4G-Herb_Icon_Blue.png
Fire Herb,Plants,2,4,20,"Search plants in Dunes, Volcano, Volcanic Hollow, Desert, and Ingle Isle",https://static.wikia.nocookie.net/monsterhunter/images/3/34/MH4G-Herb_Icon_Red.png
Ivy,Plants,1,8,10,Search plants in most areas,https://static.wikia.nocookie.net/monsterhunter/images/f/f6/MH4G-Herb_Icon_Green.png
Sleep Herb,Plants,1,5,10,Search plants in most areas,https://static.wikia.nocookie.net/monsterhunter/images/f/f7/MH4G-Herb_Icon_Light_Blue.png
Sap Plant,Plants,1,2,30,Search plants in most areas,https://static.wikia.nocookie.net/monsterhunter/images/8/8e/MH4G-Herb_Icon_White.png
Felvine,Plants,1,1,10,Search plants in most areas,https://static.wikia.nocookie.net/monsterhunter/images/0/03/MH4G-Herb_Icon_Yellow.png
Gloamgrass Root,Plants,2,10,10,"Search plants in Verdant Hills, Arctic Ridge, Dunes, Marshlands, Volcanic Hollow, Desert, or Jungle",https://static.wikia.nocookie.net/monsterhunter/images/5/59/MH4G-Herb_Icon_Pink.png
Hot Pepper,Plants,2,4,10,"Search plants in Dunes, Marshlands, Volcano, Desert, Jungle, or Primal Forest",https://static.wikia.nocookie.net/monsterhunter/images/3/34/MH4G-Herb_Icon_Red.png
Snow Herb,Plants,2,6,99,"Gather in Jurassic Frontier, Arctic Ridge, Misty Peaks, or Ruined Pinnacle",https://static.wikia.nocookie.net/monsterhunter/images/2/27/MH4G-Herb_Icon_Blue.png
Spicy Mushroom,Plants,3,54,5,Combine Hot Pepper and Unique Mushroom,https://static.wikia.nocookie.net/monsterhunter/images/f/f5/MH4G-Mushroom_Icon_Orange.png
Frozen Berry,Plants,3,54,10,Combine Ice Crystal and Tropical Berry,https://static.wikia.nocookie.net/monsterhunter/images/4/49/MH4G-Seed_Icon_Pink.png
King Cactus,Plants,5,500,99,"Reward from Village Quest ""Royal Pains""",https://static.wikia.nocookie.net/monsterhunter/images/f/f6/MH4G-Herb_Icon_Green.png
Dosbiscus,Plants,5,20,99,By-product of trade with Sunsnug Isle,https://static.wikia.nocookie.net/monsterhunter/images/3/34/MH4G-Herb_Icon_Red.png
Heftcorn,Plants,5,500,99,"Reward from Village Quest ""Lagiacrus Fuss""",https://static.wikia.nocookie.net/monsterhunter/images/0/03/MH4G-Herb_Icon_Yellow.png
Stargazer Flower,Plants,4,120,99,"Reward from Village Quests ""On the Rebound,"" ""Moofah Must-haves,"" or ""Advanced: The Goliaths""",https://static.wikia.nocookie.net/monsterhunter/images/3/34/MH4G-Herb_Icon_Red.png
Prismatic Dandelion,Plants,4,150,99,"Reward from Hub Quests ""Hyper for Holes,"" ""Daimyo of the Deserted Island,"" or ""Bring On the Shogun"" and Armory Granny's item delivery request",https://static.wikia.nocookie.net/monsterhunter/images/5/59/MH4G-Herb_Icon_Pink.png
Dragonvine,Plants,6,600,99,Search plants in Ruined Pinnacle,https://static.wikia.nocookie.net/monsterhunter/images/6/66/MH4G-Herb_Icon_Purple.png
Tough Dragonvine,Plants,8,800,99,Search plants in G-Rank Ruined Pinnacle,https://static.wikia.nocookie.net/monsterhunter/images/8/89/FourthGen-Herb_Icon_Dark_Purple.png
Blue Mushroom,Plants,2,2,10,Search mushrooms in most areas,https://static.wikia.nocookie.net/monsterhunter/images/a/a2/MH4G-Mushroom_Icon_Blue.png
Nitroshroom,Plants,2,6,20,Search mushrooms in most areas,https://static.wikia.nocookie.net/monsterhunter/images/9/96/MH4G-Mushroom_Icon_Red.png
Parashroom,Plants,3,15,10,"Search mushrooms in Arctic Ridge, Marshlands, Volcanic Hollow, Primal Forest, or Jungle",https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Mushroom_Icon_Yellow.png
Toadstool,Plants,2,8,10,"Search mushrooms in Misty Peaks, Marshlands, or Primal Forest",https://static.wikia.nocookie.net/monsterhunter/images/6/60/MH4G-Mushroom_Icon_Purple.png
Mopeshroom,Plants,2,9,10,"Search mushrooms in Jurassic Frontier, Misty Peaks, Dunes, Deserted Island, Ancestral Steppe, or Primal Forest",https://static.wikia.nocookie.net/monsterhunter/images/d/df/MH4G-Mushroom_Icon_Light_Blue.png
Exciteshroom,Plants,3,18,10,"Search mushrooms in Jurassic Frontier, Dunes, Deserted Island, Marshlands, Ancestral Steppe, Volcanic Hollow, Primal Forest, Jungle, or Ruined Pinnacle",https://static.wikia.nocookie.net/monsterhunter/images/6/60/MH4G-Mushroom_Icon_Purple.png
Dragon Toadstool,Plants,3,40,10,"Search mushrooms in Jurassic Frontier, Misty Peaks, Deserted Island, Volcano, Desert, or Ruined Pinnacle",https://static.wikia.nocookie.net/monsterhunter/images/9/96/MH4G-Mushroom_Icon_Red.png
Chaos Mushroom,Plants,5,40,99,By-product of trade with Jumbo Shroom Mountain,https://static.wikia.nocookie.net/monsterhunter/images/6/60/MH4G-Mushroom_Icon_Purple.png
Bindshroom,Plants,5,40,99,By-product of trade with Jumbo Shroom Mountain,https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Mushroom_Icon_Yellow.png
Restshroom,Plants,4,250,99,"Reward from Village Quest ""Royal Honey Hunt""",https://static.wikia.nocookie.net/monsterhunter/images/9/96/MH4G-Mushroom_Icon_Red.png
Paintberry,Plants,1,6,99,Search plants in most areas,https://static.wikia.nocookie.net/monsterhunter/images/4/49/MH4G-Seed_Icon_Pink.png
Might Seed,Plants,2,140,10,Search plants in most areas,https://static.wikia.nocookie.net/monsterhunter/images/0/0c/MH4G-Seed_Icon_Red.png
Adamant Seed,Plants,2,110,10,Search plants in most areas,https://static.wikia.nocookie.net/monsterhunter/images/b/bc/MH4G-Seed_Icon_Orange.png
Nulberry,Plants,2,120,10,Search plants in most areas,https://static.wikia.nocookie.net/monsterhunter/images/9/9e/MH4G-Seed_Icon_Blue.png
Dragonfell Berry,Plants,4,78,10,"Search plants in Volcano, Volcanic Hollow, Ruined Pinnacle, or Ingle Isle Carve Uroktor",https://static.wikia.nocookie.net/monsterhunter/images/0/0c/MH4G-Seed_Icon_Red.png
Scatternut,Plants,2,4,30,Search plants in most areas,https://static.wikia.nocookie.net/monsterhunter/images/1/1d/MH4G-Seed_Icon_Grey.png
Needleberry,Plants,1,1,99,Search plants in most areas,https://static.wikia.nocookie.net/monsterhunter/images/1/1d/MH4G-Seed_Icon_Grey.png
Latchberry,Plants,1,4,60,Search plants in most areas,https://static.wikia.nocookie.net/monsterhunter/images/f/f5/MH4G-Seed_Icon_Light_Blue.png
Bomberry,Plants,2,12,10,"Search plants in Dunes, Marshlands, Volcano, Primal Forest, Frozen Seaway, and Desert",https://static.wikia.nocookie.net/monsterhunter/images/1/1d/MH4G-Seed_Icon_Grey.png
Bumblepumpkin,Plants,2,12,10,By-product of trade with Sunsnug Isle,https://static.wikia.nocookie.net/monsterhunter/images/b/bc/MH4G-Seed_Icon_Orange.png
Giant Acorn,Plants,4,130,99,"Reward from Village Quest ""Cancer of the Dunes""",https://static.wikia.nocookie.net/monsterhunter/images/b/bc/MH4G-Seed_Icon_Orange.png
Spiky Acorn,Plants,4,120,99,"Reward from Village Quest ""Hunt-a-thon: Velocidrome""",https://static.wikia.nocookie.net/monsterhunter/images/b/bc/MH4G-Seed_Icon_Orange.png
Yukumo Wood,Plants,4,50,99,Carve fallen logs in Misty Peaks,https://static.wikia.nocookie.net/monsterhunter/images/8/8a/FourthGen-Wood_Icon_Yellow.png
Yukumo Hardwood,Plants,6,350,99,Carve fallen logs in High-rank Misty Peaks,https://static.wikia.nocookie.net/monsterhunter/images/8/88/FourthGen-Wood_Icon_Orange.png
Yukumo Stoutwood,Plants,8,650,99,Carve fallen logs in G-rank Misty Peaks,https://static.wikia.nocookie.net/monsterhunter/images/1/10/FourthGen-Wood_Icon_Brown.png
Stone,Minerals & Ores,1,1,99,Mining in most areas,https://static.wikia.nocookie.net/monsterhunter/images/2/25/MH4G-Ore_Icon_Grey.png
Iron Ore,Minerals & Ores,4,60,99,Mining in most Low-rank areas,https://static.wikia.nocookie.net/monsterhunter/images/2/25/MH4G-Ore_Icon_Grey.png
Earth Crystal,Minerals & Ores,4,80,99,Mining in most areas,https://static.wikia.nocookie.net/monsterhunter/images/5/5f/MH4G-Ore_Icon_White.png
Machalite Ore,Minerals & Ores,4,160,99,Mining in most Low-rank areas,https://static.wikia.nocookie.net/monsterhunter/images/9/99/MH4G-Ore_Icon_Blue.png
Disc Stone,Minerals & Ores,4,68,99,"Mining in the Verdant Hills, Arctic Ridge, Marshlands, Volcano, or Jungle",https://static.wikia.nocookie.net/monsterhunter/images/2/25/MH4G-Ore_Icon_Grey.png
Ice Crystal,Minerals & Ores,4,60,20,"Mining in the Arctic Ridge, Marshlands, Dunes, Frozen Seaway, or Desert Shiny drop from Zamtrios",https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Ore_Icon_Light_Blue.png
Bealite Ore,Minerals & Ores,4,140,99,"Mining in Deserted Island, Misty Peaks, and Ruined Pinnacle",https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Ore_Icon_Light_Blue.png
Lightcrystal,Minerals & Ores,4,1150,99,"Hunting Low-rank Gypceros and Kirin or mining in the Low-rank Marshlands and High-rank Arctic Ridge, Marshlands and Frozen Seaway",https://static.wikia.nocookie.net/monsterhunter/images/2/25/MH4G-Ore_Icon_Grey.png
Dragonite Ore,Minerals & Ores,4,480,99,Mining in the Low-rank Volcano and most High-rank areas,https://static.wikia.nocookie.net/monsterhunter/images/f/f6/MH4G-Ore_Icon_Green.png
Firestone,Minerals & Ores,4,860,99,Mining in the Low-rank Volcano and Volcanic Hollow,https://static.wikia.nocookie.net/monsterhunter/images/f/f7/MH4G-Ore_Icon_Red.png
Allfire Stone,Minerals & Ores,8,5160,99,Mining in the G-Rank Volcano and Volcanic Hollow,https://static.wikia.nocookie.net/monsterhunter/images/f/f7/MH4G-Ore_Icon_Red.png
Lava Nugget,Minerals & Ores,4,530,99,"Hunting Uragaan, Crystalbeard Uragaan, or Lavasioth",https://static.wikia.nocookie.net/monsterhunter/images/d/d1/MH4G-Ore_Icon_Orange.png
Carbalite Ore,Minerals & Ores,6,680,99,Mining in most High-rank areas,https://static.wikia.nocookie.net/monsterhunter/images/9/9d/MH4G-Ore_Icon_Purple.png
Eltalite Ore,Minerals & Ores,8,1280,99,Mining in most G-rank areas,https://static.wikia.nocookie.net/monsterhunter/images/f/f7/MH4G-Ore_Icon_Red.png
Meldspar Ore,Minerals & Ores,8,1920,99,"Mining in G-Rank Deserted Island, Marshlands, Volcano, Frozen Seaway, or Jungle",https://static.wikia.nocookie.net/monsterhunter/images/5/5f/MH4G-Ore_Icon_White.png
Novacrystal,Minerals & Ores,6,2440,99,Hunting High-Rank Gypceros and Kirin or mining in the High-rank Marshlands and Frozen Seaway,https://static.wikia.nocookie.net/monsterhunter/images/5/5f/MH4G-Ore_Icon_White.png
Purecrystal,Minerals & Ores,8,7320,99,"Hunting G-Rank Gypceros, Kirin, Fatalis, Crimson Fatalis, or White Fatalis, mining Ahtal-Neset, mining in G-rank Marshlands and Jungle, or the secret gathering point in Dunes, Ancestral Steppe, Primal Forest, Frozen Seaway, and Ruined Pinnacle",https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Ore_Icon_Light_Blue.png
Fucium Ore,Minerals & Ores,6,1020,99,Mining in most High-rank areas,https://static.wikia.nocookie.net/monsterhunter/images/9/9e/MH4G-Ore_Icon_Pink.png
Firecell Stone,Minerals & Ores,6,1720,99,"Hunting Agnaktor, Akantor, Gravios, Uragaan, or Crystalbeard Uragaan or mining in the High-rank Volcano and Volcanic Hollow",https://static.wikia.nocookie.net/monsterhunter/images/d/d1/MH4G-Ore_Icon_Orange.png
Rainbow Ore,Minerals & Ores,5,960,99,Reward from 5★ Hub dual monster quests (Bherna Request),https://static.wikia.nocookie.net/monsterhunter/images/9/9e/MH4G-Ore_Icon_Pink.png
Immaculate Ore,Minerals & Ores,8,80,99,Horns Coins Exchange,https://static.wikia.nocookie.net/monsterhunter/images/9/99/MH4G-Ore_Icon_Blue.png
Pristine Ore,Minerals & Ores,8,960,99,Horns Coins Exchange,https://static.wikia.nocookie.net/monsterhunter/images/9/9d/MH4G-Ore_Icon_Purple.png
Ultimas Crystal,Minerals & Ores,8,7500,99,Mining in G-Rank Volcanic Hollow,https://static.wikia.nocookie.net/monsterhunter/images/9/94/MH4G-Ore_Icon_Yellow.png
Aquaglow Jewel,Minerals & Ores,4,50,99,"Low-Rank Quest rewards, mining in most Low-rank areas",https://static.wikia.nocookie.net/monsterhunter/images/4/4e/MH4G-Jewel_Icon_Light_Blue.png
Sunspire Jewel,Minerals & Ores,4,350,99,"Low-Rank Quest rewards, mining in most areas",https://static.wikia.nocookie.net/monsterhunter/images/7/73/MH4G-Jewel_Icon_White.png
Bloodrun Jewel,Minerals & Ores,5,530,99,"High-Rank Quest rewards, mining in most High-rank areas",https://static.wikia.nocookie.net/monsterhunter/images/6/66/MH4G-Jewel_Icon_Purple.png
Lazurite Jewel,Minerals & Ores,5,880,99,"High-Rank Quest rewards, mining in most High-rank areas",https://static.wikia.nocookie.net/monsterhunter/images/3/36/MH4G-Jewel_Icon_Yellow.png
Adamant Orb,Minerals & Ores,8,1000,99,"G-Rank Quest rewards, mining in most G-rank areas",https://static.wikia.nocookie.net/monsterhunter/images/8/87/MH4G-Jewel_Icon_Brown.png
Sovereign Orb,Minerals & Ores,8,1500,99,"G-Rank Quest rewards, mining in G-Rank Marshlands, Volcano, Volcanic Hollow, Frozen Seaway, and Jungle",https://static.wikia.nocookie.net/monsterhunter/images/2/2f/MH4G-Jewel_Icon_Red.png
Armor Stone,Minerals & Ores,4,150,99,Quest rewards and Hunters for Hire,https://static.wikia.nocookie.net/monsterhunter/images/5/5f/MH4G-Ore_Icon_White.png
Armor Sphere,Minerals & Ores,4,80,99,"Low-Rank Quest rewards, mining in most Low-rank areas",https://static.wikia.nocookie.net/monsterhunter/images/f/f2/MH4G-Armor_Sphere_Icon_Blue.png
Armor Sphere+,Minerals & Ores,4,300,99,"Low-Rank Quest rewards, mining in most areas",https://static.wikia.nocookie.net/monsterhunter/images/f/ff/MH4G-Armor_Sphere_Icon_Green.png
Adv Armor Sphere,Minerals & Ores,5,300,99,"High-Rank Quest rewards, mining in most High-rank areas",https://static.wikia.nocookie.net/monsterhunter/images/7/71/MH4G-Armor_Sphere_Icon_Orange.png
Hard Armor Sphere,Minerals & Ores,5,400,99,"High-Rank Quest rewards, mining in most G-Rank areas",https://static.wikia.nocookie.net/monsterhunter/images/c/c1/MH4G-Armor_Sphere_Icon_Purple.png
Heavy Armor Sphere,Minerals & Ores,6,600,99,"High-rank Quest rewards, mining in most G-Rank areas",https://static.wikia.nocookie.net/monsterhunter/images/4/4a/MH4G-Armor_Sphere_Icon_Red.png
King Armor Sphere,Minerals & Ores,8,700,99,"G-rank Quest rewards, mining in G-rank Marshlands, Volcano, and Volcanic Hollow",https://static.wikia.nocookie.net/monsterhunter/images/9/97/MH4G-Armor_Sphere_Icon_Yellow.png
True Armor Sphere,Minerals & Ores,9,800,99,G-rank Quest rewards,https://static.wikia.nocookie.net/monsterhunter/images/f/fd/ItemIcon019e.png
Mystery Charm,Minerals & Ores,4,0,10,Mining in most areas,https://static.wikia.nocookie.net/monsterhunter/images/d/da/MH4G-Charm_Icon_White.png
Shining Charm,Minerals & Ores,5,0,10,Mining in most High-rank areas,https://static.wikia.nocookie.net/monsterhunter/images/e/ee/MH4G-Charm_Icon_Yellow.png
Timeworn Charm,Minerals & Ores,6,0,10,"Mining in the High-rank Volcano, Volcanic Hollow, and Frozen Seaway and most G-rank areas, gather in the High-rank Deserted Island and Marshlands secret area",https://static.wikia.nocookie.net/monsterhunter/images/7/70/MH4G-Charm_Icon_Red.png
Enduring Charm,Minerals & Ores,8,0,10,"Village ★10 and G3/G4 Quest Rewards, mining in the G-rank Volcano, Volcanic Hollow, and Frozen Seaway, gather in the G-rank Deserted Island and Marshlands secret area",https://static.wikia.nocookie.net/monsterhunter/images/6/67/MH4G-Charm_Icon_Light_Blue.png
Rustshard,Minerals & Ores,5,0,3,"Mining in the Volcano, Low-rank Elder Dragon and High-rank quest rewards",https://static.wikia.nocookie.net/monsterhunter/images/5/5a/MH4G-Question_Mark_Icon_Grey.png
Ancient Shard,Minerals & Ores,7,0,3,"Mining in High-rank areas, High and G-rank quest rewards",https://static.wikia.nocookie.net/monsterhunter/images/5/5a/MH4G-Question_Mark_Icon_Grey.png
Rare Fish,Fish,1,2,10,Rife Roast,https://static.wikia.nocookie.net/monsterhunter/images/8/8f/MH4G-Fish_Icon_Light_Blue.png
Burnt Fish,Fish,1,1,10,Rife Roast,https://static.wikia.nocookie.net/monsterhunter/images/b/be/MH4G-Fish_Icon_Grey.png
Gourmet Fish,Fish,2,40,10,Rife Roast,https://static.wikia.nocookie.net/monsterhunter/images/4/43/MH4G-Fish_Icon_Orange.png
Whetfish,Fish,1,45,10,Fish in most areas,https://static.wikia.nocookie.net/monsterhunter/images/1/12/MH4G-Fish_Icon_Yellow.png
Sushifish,Fish,1,45,10,Fish in most areas,https://static.wikia.nocookie.net/monsterhunter/images/4/43/MH4G-Fish_Icon_Orange.png
Sleepyfish,Fish,2,45,10,Fish in most areas,https://static.wikia.nocookie.net/monsterhunter/images/8/8f/MH4G-Fish_Icon_Light_Blue.png
Pin Tuna,Fish,1,50,30,Fish in most areas,https://static.wikia.nocookie.net/monsterhunter/images/b/be/MH4G-Fish_Icon_Grey.png
Speartuna,Fish,5,1000,10,"Fish in Verdant Hills, Frozen Seaway, Jungle, and Ruined Pinnacle",https://static.wikia.nocookie.net/monsterhunter/images/2/25/MH4G-Fish_Icon_Blue.png
Popfish,Fish,2,15,30,Fish in most areas,https://static.wikia.nocookie.net/monsterhunter/images/b/be/MH4G-Fish_Icon_Grey.png
Scatterfish,Fish,4,150,10,"Fish in Dunes, Marshlands, Ancestral Steppe, Primal Forest, and Ruined Pinnacle",https://static.wikia.nocookie.net/monsterhunter/images/b/be/MH4G-Fish_Icon_Grey.png
Burst Arowana,Fish,4,45,10,"Fish in Verdant Hills, Arctic Ridge, Misty Peaks, Marshlands Ancestral Steppe, Primal Forest, Desert, and Jungle",https://static.wikia.nocookie.net/monsterhunter/images/0/03/MH4G-Fish_Icon_Green.png
Bomb Arowana,Fish,4,135,10,"Fish in Arctic Ridge, Deserted Island, Marshlands, Ancestral Steppe, Primal Forest, and Ruined Pinnacle",https://static.wikia.nocookie.net/monsterhunter/images/0/08/MH4G-Fish_Icon_Purple.png
Glutton Tuna,Fish,4,13,10,"Fish in Jurassic Frontier, Dunes, Marshlands, and Ancestral Steppe",https://static.wikia.nocookie.net/monsterhunter/images/4/43/MH4G-Fish_Icon_Orange.png
Gastronome Tuna,Fish,5,23,5,"Fish in High-Rank Jurassic Frontier, Dunes, Marshlands, Primal Forest, Frozen Seaway, Desert, Jungle, and Ruined Pinnacle",https://static.wikia.nocookie.net/monsterhunter/images/4/43/MH4G-Fish_Icon_Orange.png
Ancient Fish,Fish,5,23,5,"Fish in High-Rank Verdant Hills, Misty Peaks, Deserted Island, Marshlands, Ancestral Steppe, and Frozen Seaway",https://static.wikia.nocookie.net/monsterhunter/images/a/a1/MH4G-Fish_Icon_White.png
Small Goldenfish,Fish,4,500,99,Fish in most areas,https://static.wikia.nocookie.net/monsterhunter/images/1/12/MH4G-Fish_Icon_Yellow.png
Wanchovy,Fish,2,48,20,"Fish in Jurassic Frontier, Arctic Ridge, Ancestral Steppe, and Frozen Seaway",https://static.wikia.nocookie.net/monsterhunter/images/0/03/MH4G-Fish_Icon_Green.png
Blue Cutthroat,Fish,4,100,99,"Quest reward from Hub Quest ""Isle About that Bass""",https://static.wikia.nocookie.net/monsterhunter/images/8/8f/MH4G-Fish_Icon_Light_Blue.png
Humspun Conch,Fish,4,100,99,"Quest reward from Village Quest ""Island Menace""",https://static.wikia.nocookie.net/monsterhunter/images/3/3f/MH4G-Scale_Icon_White.png
Armored Bream,Fish,5,60,99,By-product of trade with Tanzia Port,https://static.wikia.nocookie.net/monsterhunter/images/a/a1/MH4G-Fish_Icon_White.png
Sharqskin,Fish,4,380,99,"Quest reward from Hub Quest ""Lagiacrushed""",https://static.wikia.nocookie.net/monsterhunter/images/3/3e/MH4G-Hide_Icon_Blue.png
Springnight Carp,Fish,5,100,99,By-product of trade with Tanzia Port,https://static.wikia.nocookie.net/monsterhunter/images/1/14/MH4G-Fish_Icon_Pink.png
Tailed Frog,Fish,4,100,99,"Quest reward from Village Quest ""Jurassic Treasure: The Frog""",https://static.wikia.nocookie.net/monsterhunter/images/4/4b/MH4G-Hide_Icon_Light_Blue.png
Guardfish,Fish,8,2500,99,"Fish in G-Rank Jurassic Frontier, Arctic Ridge, Dunes, Primal Forest, Desert, Jungle, and Ruined Pinnacle",https://static.wikia.nocookie.net/monsterhunter/images/e/e0/MH4G-Fish_Icon_Brown.png
Insect Husk,Insects,1,1,10,Catch in most areas,https://static.wikia.nocookie.net/monsterhunter/images/a/a0/MH4G-Bug_Icon_Grey.png
Godbug,Insects,4,210,10,Catch in most areas,https://static.wikia.nocookie.net/monsterhunter/images/d/d3/MH4G-Bug_Icon_White.png
